[31/200] Total Loss: 0.0012, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0022
[32/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0017
[33/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0020
[34/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0023
[35/200] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0020
[36/200] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0022
[37/200] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0016
[38/200] Total Loss: 0.0015, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0019
[39/200] Total Loss: 0.0024, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0030
[40/200] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0029
[41/200] Total Loss: 0.0007, Discrepancy Loss: 0.0007,  Constraint Loss: 0.0013
[42/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0026
[43/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0015
[44/200] Total Loss: 0.0014, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0014
